                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     68,               0.017684,               0.013072,               0.013716,              0.0045717,                0.90804,                 0.8341,                0.88194,                0.73904,                0.90286,                0.83172,                0.87946,                0.74274,                0.01845,               0.013708,               0.010495,              0.0082731,               0.003367,               0.003367,               0.003367
                     69,               0.017874,               0.013195,               0.013707,              0.0043474,                0.90858,                0.83126,                0.86784,                0.73467,                0.90991,                0.83028,                0.86629,                0.73784,               0.019338,               0.013978,               0.010604,              0.0072803,               0.003268,               0.003268,               0.003268
                     70,                0.01756,                0.01282,               0.013515,              0.0045225,                0.88187,                0.83807,                 0.8691,                0.74021,                0.87583,                0.83497,                0.86509,                0.73748,                0.01877,               0.013914,              0.0098886,              0.0079041,               0.003169,               0.003169,               0.003169
                     71,               0.017218,               0.012473,               0.013282,              0.0042646,                0.88282,                0.82597,                0.87494,                0.74958,                 0.8754,                0.82121,                 0.8712,                0.74123,               0.018361,               0.014142,              0.0098715,              0.0087128,                0.00307,                0.00307,                0.00307
                     72,               0.017285,               0.012725,               0.013331,              0.0041289,                0.82998,                0.83852,                0.86675,                0.73047,                0.82414,                 0.8364,                0.86564,                0.73525,               0.019214,               0.014754,                0.01039,               0.010351,               0.002971,               0.002971,               0.002971
                     73,               0.017227,               0.012558,               0.013281,              0.0039778,                0.83218,                 0.8664,                0.85974,                0.72082,                0.83247,                0.86705,                0.86005,                0.72033,               0.018967,               0.014336,               0.010178,              0.0088625,               0.002872,               0.002872,               0.002872
                     74,               0.016835,               0.013027,               0.013509,              0.0038322,                0.85485,                0.83148,                0.85338,                0.71847,                 0.8497,                0.83055,                0.85056,                0.71961,               0.018592,               0.014711,               0.010475,              0.0098095,               0.002773,               0.002773,               0.002773
                     75,               0.016833,               0.012879,               0.013313,              0.0039386,                 0.8749,                0.83973,                0.86488,                0.73063,                 0.8749,                0.83973,                0.86071,                0.72621,               0.018778,               0.014822,               0.010396,              0.0088062,               0.002674,               0.002674,               0.002674
                     76,               0.016569,                0.01288,               0.012854,              0.0039933,                0.89665,                0.82669,                0.86157,                0.73128,                 0.8917,                0.82451,                0.85708,                0.73098,               0.018707,               0.013745,               0.010746,              0.0091991,               0.002575,               0.002575,               0.002575
                     77,               0.016363,                0.01284,               0.013016,              0.0036591,                0.86075,                0.87146,                0.87449,                0.74068,                0.85717,                0.86746,                0.87217,                0.74153,               0.017892,               0.013794,               0.010024,              0.0079613,               0.002476,               0.002476,               0.002476
                     78,               0.016195,               0.012135,               0.012877,               0.003628,                0.87956,                 0.8479,                0.87243,                0.74338,                0.87469,                0.84552,                0.86686,                0.73952,               0.017596,               0.014037,               0.010139,              0.0086842,               0.002377,               0.002377,               0.002377
                     79,               0.016124,               0.012489,               0.012706,               0.003703,                0.89944,                0.84611,                0.87787,                 0.7513,                0.89944,                0.84611,                0.87822,                0.74911,               0.017663,               0.013693,               0.009922,              0.0072689,               0.002278,               0.002278,               0.002278
                     80,               0.015987,               0.012314,               0.012682,              0.0037095,                0.87249,                0.85415,                0.87482,                0.74731,                0.87249,                0.85415,                0.87498,                0.74744,               0.018088,                0.01333,               0.010168,              0.0073252,               0.002179,               0.002179,               0.002179
                     81,               0.015617,               0.012185,               0.012557,              0.0035084,                0.84937,                0.84832,                0.86918,                0.74815,                  0.853,                 0.8516,                0.87097,                0.74856,               0.018505,               0.013495,              0.0099821,              0.0093536,                0.00208,                0.00208,                0.00208
                     82,               0.015767,               0.012741,               0.012529,               0.003416,                0.87084,                0.85746,                 0.8732,                0.75145,                0.87084,                0.85746,                0.87398,                0.75269,               0.017871,               0.013695,              0.0099392,              0.0095463,               0.001981,               0.001981,               0.001981
                     83,                0.01558,               0.012399,                 0.0126,              0.0034756,                0.89804,                0.85191,                0.88443,                0.76623,                0.90138,                0.85494,                0.88867,                0.76696,               0.018087,               0.013254,               0.010082,              0.0069046,               0.001882,               0.001882,               0.001882
                     84,               0.015219,               0.012005,               0.012317,              0.0034097,                0.87289,                0.80238,                0.86838,                0.74768,                0.87346,                  0.818,                0.87454,                0.74809,               0.017809,               0.013922,              0.0099325,              0.0088215,               0.001783,               0.001783,               0.001783
                     85,               0.014982,               0.012104,               0.012297,              0.0032417,                0.84243,                0.84904,                 0.8719,                0.75673,                0.84965,                0.85608,                0.87622,                0.75625,               0.017904,               0.013571,              0.0099087,               0.007637,               0.001684,               0.001684,               0.001684
                     86,               0.014953,                0.01201,               0.012247,              0.0034871,                0.89133,                0.84303,                0.87424,                0.75959,                0.89471,                0.84606,                0.87914,                0.75266,               0.017782,               0.013847,                0.01045,              0.0067663,               0.001585,               0.001585,               0.001585
                     87,               0.014777,               0.011852,               0.012118,               0.003238,                0.88707,                 0.8383,                0.87848,                0.76874,                0.89033,                0.84134,                 0.8811,                 0.7634,               0.017456,               0.013456,                0.01027,               0.006588,               0.001486,               0.001486,               0.001486
                     88,                0.01487,               0.012085,               0.012172,              0.0032594,                0.89234,                0.82791,                0.86724,                0.75047,                0.89114,                 0.8286,                0.86834,                0.75032,               0.017163,               0.013527,               0.009963,              0.0077953,               0.001387,               0.001387,               0.001387
                     89,                0.01467,               0.012199,               0.012336,              0.0032172,                 0.8929,                0.82858,                0.87474,                0.76046,                0.89165,                0.82935,                0.87581,                0.75009,               0.017149,               0.013513,              0.0099764,              0.0071259,               0.001288,               0.001288,               0.001288
                     90,               0.014234,               0.011893,               0.011828,              0.0030895,                0.86178,                0.84527,                0.86438,                0.74747,                 0.8657,                0.84927,                0.86743,                0.74036,               0.017829,               0.014053,               0.010466,              0.0082388,               0.001189,               0.001189,               0.001189
                     91,                0.01434,               0.011898,               0.011686,              0.0030537,                0.89769,                 0.8608,                0.87886,                0.76456,                0.89207,                0.85932,                0.87784,                0.75003,               0.017647,               0.013682,               0.010053,              0.0079489,                0.00109,                0.00109,                0.00109
                     92,               0.014274,               0.011848,               0.012007,              0.0028978,                0.87917,                 0.8597,                0.87289,                 0.7626,                0.88108,                  0.863,                0.87415,                0.75516,               0.017555,               0.013376,               0.010055,              0.0078173,               0.000991,               0.000991,               0.000991
                     93,               0.013951,               0.011732,               0.011813,              0.0028418,                0.89658,                0.84264,                0.87193,                0.75737,                0.89899,                0.84763,                0.87791,                 0.7575,               0.017712,                0.01314,               0.010104,              0.0081987,               0.000892,               0.000892,               0.000892
                     94,               0.013997,               0.011597,               0.011543,              0.0027925,                0.88317,                 0.8453,                0.87333,                0.76455,                0.89431,                0.85566,                0.88217,                0.75957,               0.017497,               0.013157,                0.01004,              0.0076532,               0.000793,               0.000793,               0.000793
                     95,               0.014058,               0.011541,               0.011485,              0.0028495,                0.87706,                0.85015,                0.87855,                0.76704,                  0.884,                0.85651,                0.88119,                0.76099,               0.017173,               0.013347,              0.0098677,              0.0079308,               0.000694,               0.000694,               0.000694
                     96,                0.01367,               0.011686,               0.011384,              0.0029176,                0.89352,                0.84329,                0.88103,                0.76837,                0.89797,                0.85018,                0.88505,                0.76464,               0.017162,               0.013178,               0.010139,              0.0074654,               0.000595,               0.000595,               0.000595
                     97,               0.013664,               0.011716,               0.011567,              0.0024918,                0.89497,                 0.8427,                0.87844,                0.76318,                0.89059,                0.84021,                0.87876,                0.76137,               0.017235,               0.013366,               0.010117,              0.0081005,               0.000496,               0.000496,               0.000496
                     98,               0.013767,               0.011775,               0.011545,              0.0026736,                0.90371,                0.85274,                0.88001,                0.76527,                0.89953,                0.85041,                 0.8804,                0.75999,               0.017145,                0.01345,               0.010059,              0.0074596,               0.000397,               0.000397,               0.000397
                     99,               0.013434,               0.011677,               0.011445,              0.0029265,                0.89723,                0.84455,                0.86764,                0.76301,                0.90453,                0.85158,                 0.8744,                0.75657,               0.017313,               0.013557,              0.0099831,               0.007597,               0.000298,               0.000298,               0.000298
                    100,                0.89565,                 0.8534,                0.88422,                0.76611,                0.89898,                0.85643,                0.88848,                0.76626,               0.018088,               0.013255,                0.01008,              0.0069113
